Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Huang, Hung-Hsuan; Jokinen, Kristiina; Nakano, Yukiko I; Anrist, Sean; Bortz, Brennon; Buschmeier, Hendrik; Conati, Cristina; Eivazi, Shahram; Foster, Mary Ellen; Epps, Julien; ",GazeIn 2013 Workshop Organization,,,,,,
"Turkstra, LS; Norman, RS; Mutlu, B; Duff, MC; ",Impaired theory of mind in adults with traumatic brain injury: A replication and extension of findings,Neuropsychologia,111,,117-122,2018,Pergamon
"Pearce, Margaret; Mutlu, Bilge; Shah, Julie; Radwin, Robert; ",Optimizing makespan and ergonomics in integrating collaborative robots into manufacturing processes,IEEE transactions on automation science and engineering,15,4,1772-1784,2018,IEEE
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; Hiatt, Laura M; ",Shared dynamic curves: A shared-control telemanipulation method for motor task training,Proceedings of the 2018 ACM/IEEE International Conference on Human-Robot Interaction,,,23-31,2018,
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",An autonomous dynamic camera method for effective remote teleoperation,Proceedings of the 2018 ACM/IEEE International Conference on Human-Robot Interaction,,,325-333,2018,
"Deng, Eric C; Mutlu, Bilge; Mataric, Maja J; ",Formalizing the design space and product development cycle for socially interactive robots,Workshop on Social Robots in the Wild at the 2018 ACM Conference on Human-Robot Interaction (HRI),,,,2018,
"Rigon, Arianna; Voss, Michelle W; Turkstra, Lyn S; Mutlu, Bilge; Duff, Melissa C; ",Different aspects of facial affect recognition impairment following traumatic brain injury: The role of perceptual and interpretative abilities,Journal of clinical and experimental neuropsychology,40,8,805-819,2018,Routledge
"Meschtscherjakov, Alexander; Tscheligi, Manfred; Pfleging, Bastian; Sadeghian Borojeni, Shadan; Ju, Wendy; Palanque, Philippe; Riener, Andreas; Mutlu, Bilge; Kun, Andrew L; ",Interacting with autonomous vehicles: Learning from other domains,Extended abstracts of the 2018 CHI conference on human factors in computing Systems,,,1-8,2018,
"Rigon, Arianna; Voss, Michelle W; Turkstra, Lyn S; Mutlu, Bilge; Duff, Melissa C; ",Functional neural correlates of facial affect recognition impairment following TBI,Brain imaging and behavior,13,2,526-540,2019,Springer US
"Rigon, Arianna; Turkstra, Lyn S; Mutlu, Bilge; Duff, Melissa C; ",Facial-affect recognition deficit as a predictor of different aspects of social-communication impairment in traumatic brain injury.,Neuropsychology,32,4,476,2018,American Psychological Association
"Rigon, Arianna; Voss, Michelle W; Turkstra, Lyn S; Mutlu, Bilge; Duff, Melissa C; ",White matter correlates of different aspects of facial affect recognition impairment following traumatic brain injury,Social neuroscience,14,4,434-448,2019,Routledge
